«»,Producer, Film, Rating, Budget, Year
1,453,2069641,5.5,"$7,000,000",2011
2,453,2172355,4.6,"$1,000,000",2010
3,453,2321150,5.7,"$10,400,000",2012
4,453,2334258,4.6,"$11,000,000",2012
5,453,2769434,4.4,"$20,000,000",2011
6,453,2882495,6.4,"$27,220,000",2013
7,633,2086992,7.9,"RUR 750",2014
8,633,2478751,8.7,"RUR 50",2014
9,633,2659243,7.2,"RUR 300",2013
10,633,2743570,8.7,"RUR 50",2014
11,633,2839687,5.8,"RUR 2,500",2014
12,829,2745947,4.8,"SEK 10,000,000",2003
13,910,2383827,7.2,"€ 147,000",2008
14,910,2383827,7.2,"€ 147,000",2008
15,910,2595733,8.0,"€ 453,000",2014
16,910,2603615,7.4,"€ 142,295",2014
17,910,2707984,6.8,"€ 301,500",2007
18,910,2822737,7.2,"€ 554,828",2010
19,910,2834300,6.8,"€ 171,871",2011
20,1049,2546076,6.7,"€ 250,000",2008
21,1064,2555142,5.7,"$12,000,000",2013
22,1185,2131148,6.1,"$20,000,000",1991
23,1185,2427240,6.1,"$7,000,000",2000
24,1471,2225189,7.1,"$1,300,000",2008
25,1574,2503338,6.1,"$1,500,000",2014
26,1574,3018814,6.9,"$2,000,000",2013
27,2219,2681144,5.1,"€ 50,000",2014
28,2276,2341641,5.7,"AUD 200,000",2008
29,2472,2040439,7.2,"$40,000,000",1992
30,2472,2162971,4.9,"$13,000,000",1993
31,2472,2726706,6.1,"$40,000,000",1994
32,2472,2921159,5.4,"$40,000,000",1997
33,2489,2058119,5.4,"$4,000,000",2006
34,2589,2191665,6.9,"£2,000,000",2008
35,2629,2037317,7.6,"$7,500,000",1989
36,3845,2423703,3.1,"$192,000",2007
37,3845,2872541,4.5,"$79,000",2004
38,3914,2749339,6.8,"$780,000",2003
39,3956,2071388,5.0,"$150,000",2014
40,4004,2290461,7.4,"$600,000",1972
41,4006,2071388,5.0,"$150,000",2014
42,4077,2255195,2.9,"$130,000",2009
43,4140,2228177,3.6,"$50,000",2009
44,4140,2587747,5.4,"$2,000,000",2005
45,4140,2797151,4.8,"$325,000",2007
46,4274,2657554,6.0,"$42,000,000",2000
47,4609,2300999,7.2,"$220,000",2013
48,4816,2377788,7.3,"$2,000",2005
