«»,Writer, Film, Rating, Budget, Year
1,453,2069641,5.5,"$7,000,000",2011
2,633,2086992,7.9,"RUR 750",2014
3,633,2478751,8.7,"RUR 50",2014
4,633,2659243,7.2,"RUR 300",2013
5,633,2743570,8.7,"RUR 50",2014
6,633,2839687,5.8,"RUR 2,500",2014
7,719,2130344,7.3,"$11,000,000",1978
8,816,2479316,7.7,"NOK 35,304,282",2014
9,829,2027681,4.0,"SEK 1,600,000",1995
10,910,2467705,6.7,"€ 240,000",2006
11,910,2477877,5.9,"€ 158,000",2009
12,910,2707984,6.8,"€ 301,500",2007
13,910,2834300,6.8,"€ 171,871",2011
14,940,2456697,6.1,"€ 1,100,000",2004
15,940,2980937,7.5,"FIM 14,000,000",1985
16,940,2984970,5.7,"€ 470,000",2004
17,940,3063096,7.7,"€ 2,900,000",2005
18,1064,2637888,4.6,"$10,000,000",2012
19,1154,2264411,5.0,"$5,000,000",1999
20,1185,2427240,6.1,"$7,000,000",2000
21,1471,2225189,7.1,"$1,300,000",2008
22,1501,2687189,6.1,"$70,000,000",2007
23,1636,2171748,8.0,"$52,000,000",2003
24,1638,2107356,6.7,"$1,500,000",1977
25,2219,2681144,5.1,"€ 50,000",2014
26,2219,2681144,5.1,"€ 50,000",2014
27,2276,2341641,5.7,"AUD 200,000",2008
28,2487,2069172,8.1,"$1,448,864",1931
29,2487,2152559,7.2,"$1,000,000",1929
30,2487,2152559,7.2,"$1,000,000",1929
31,2618,2712618,5.2,"$35,000,000",2002
32,2643,2317393,8.0,"$9,000,000",1971
33,2762,2570442,6.6,"EGP 5,000,000",2009
34,3130,2486059,6.0,"FRF 14,000,000",1997
35,3845,2423703,3.1,"$192,000",2007
36,3845,2872541,4.5,"$79,000",2004
37,4004,2290461,7.4,"$600,000",1972
38,4004,2921637,6.5,"$150,000",1960
39,4006,2071388,5.0,"$150,000",2014
40,4609,2300999,7.2,"$220,000",2013
41,4609,2300999,7.2,"$220,000",2013
42,4915,2366319,8.5,"$170,000,000",2013
43,5266,2402472,6.2,"$12,000,000",2005
44,5458,2063159,7.8,"$3,500,000",1980
45,5458,2400563,6.7,"$26,000,000",1991
46,5458,2444075,5.5,"$10,000,000",1998
47,5458,2614945,6.4,"$30,000,000",1994
48,5458,2757902,5.1,"$45,000,000",2006
49,5458,2896109,6.5,"$650,000",1977
50,5458,2912479,6.8,"$23,000,000",1991
51,5478,2122807,6.1,"$3,000,000",1970
52,5637,2723367,4.9,"$16,000,000",1990
53,5720,3053063,6.3,"CAD 1,500,000",2007
54,5800,2091541,6.6,"$140,000,000",1998
55,5800,2358896,4.6,"$53,000,000",1997
56,5800,2454057,6.6,"$23,000,000",2001
57,5800,2590048,6.8,"$150,000,000",2006
58,5800,2824765,7.1,"$50,000,000",2011
59,5889,2043238,6.9,"HUF 953,000,000",2013
60,6406,2095347,4.1,"EGP 30,000,000",2013
61,6474,2257175,6.1,"€ 1,500,000",2012
62,6554,2640876,6.9,"BRL 4,500,000",2014
63,6555,2871507,8.3,"$20,000",2013
64,6555,2871507,8.3,"$20,000",2013
65,7799,2031256,7.1,"$30,000,000",2010
66,7918,2414684,7.6,"$59,000,000",2002
67,7918,2414702,7.1,"$90,000,000",2007
68,8028,2028956,7.5,"£132,000",1941
69,8827,2792909,6.7,"$1,200,000",2010
70,8857,2482912,6.8,"$120,000",2010
71,8857,3054858,6.4,"$100,000",2007
72,9001,2320068,6.2,"INR 120,000,000",2014
73,9088,2772384,4.4,"EGP 4,000,000",2008
74,9125,2475938,7.7,"DKK 300,000",2007
75,9246,2519482,8.5,"CAD 410,000",2014
76,9246,2519482,8.5,"CAD 410,000",2014
77,9978,2725874,3.6,"$6,000,000",1989
78,9978,2725874,3.6,"$6,000,000",1989
79,9978,2725874,3.6,"$6,000,000",1989
80,9978,2885511,6.1,"$8,000,000",2007
81,9978,2901456,5.3,"$4,500,000",2009
82,10092,2890700,6.8,"$50,000,000",2005
83,10092,2890700,6.8,"$50,000,000",2005
84,10116,2748369,4.0,$49,2011
85,10636,2845212,6.4,£500,2011
86,10817,2673376,6.6,"$50,000,000",1998
87,11066,2296192,4.7,"$40,000,000",2004
88,11312,2781003,7.3,"$150,000,000",2004
89,11312,2781003,7.3,"$150,000,000",2004
90,11312,2781015,6.0,"$160,000,000",2006
91,11312,2865137,6.6,"$225,000,000",2008
92,11312,2865140,6.9,"$180,000,000",2005
93,11600,2849615,6.8,"$38,000,000",1992
94,11675,2133005,6.0,"$20,000,000",2004
95,11675,2595699,7.1,"$4,000,000",2001
96,11744,2693212,5.1,"$1,200,000",2000
97,11744,2693212,5.1,"$1,200,000",2000
98,12408,2117675,4.6,"$10,000,000",2011
99,12408,2192863,4.4,"$20,000,000",2007
100,12408,2815466,5.1,"$14,000,000",2006
101,12408,2981325,4.3,"$9,000,000",2000
102,12691,2584042,6.5,"$2,000",2013
103,12691,2584042,6.5,"$2,000",2013
104,12892,2183920,8.1,"$1,000",2013
105,12950,2669855,3.3,"$800,000",1982
106,13023,2315004,6.9,"$647,000",1931
107,13023,2385659,7.1,"$717,000",1945
108,13023,2600386,7.3,"$675,000",1932
109,13023,3025442,6.2,"$979,828",1929
110,13034,2182042,4.1,"$900,000",1992
111,13187,2312362,7.4,"€ 5,200,000",2014
112,13217,2558652,6.2,"€ 3,500,000",2010
113,13220,2558652,6.2,"€ 3,500,000",2010
114,13224,2434855,2.8,"$40,000",1972
115,13349,2248214,7.1,"€ 200,000",2006
116,13349,2795105,7.1,"€ 1,000,000",2009
117,13536,2219499,7.2,"$126,118",1952
118,13536,2245885,7.4,"$156,991",1938
119,13536,2245891,7.3,"$163,530",1939
120,13536,2269418,7.4,"$166,312",1940
121,13536,2447738,6.7,"$149,967",1947
