Film,Rating,Year,Budget,Actor.Group1,Actor.Group2,Director,Writer
2018616,7.9,1980,534982.5,0,33,6.420000076293945,7.6600000858306885
2018678,5.4,1988,13004190,34,11,5.400000095367432,5.462500095367432
2018819,7.7,1945,302590,0,32,7.830000034968059,7.830000034968059
2019328,7.8,2009,7500000,10,70,7.300000031789144,7.800000190734863
2019469,5.2,2004,10407600,29,5,5.199999809265137,5.199999809265137
2019692,6.9,1981,400000,0,16,6.049999952316284,6.428571428571428
2019949,5.7,2006,5000000,11,6,5.699999809265137,5.699999809265137
2019952,2.7,2002,5000000,14,0,2.700000047683716,2.700000047683716
2020120,6.6,2004,2312800,2,34,6.599999904632568,6.599999904632568
2020187,5.7,1998,32000000,17,7,6.074999928474426,5.941666483879089
2020644,7.2,1999,16000000,7,43,7.199999809265137,6.738333312670389
2020652,6.2,1983,4520000,5,26,6.300000011920929,6.266666571299234
2020781,2.4,2013,500000,20,2,2.4000000953674316,2.4000000953674316
2021221,5.6,1996,54000000,9,15,5.800000111262004,6.07727266441692
2021555,3.7,2004,1002296.4,16,1,4.7500001192092896,4.050000071525574
2021601,7.8,2007,4000000,3,26,6.533333460489909,6.111111217074924
2021614,7.6,2005,400000,0,22,6.766666571299235,7.599999904632568
2021617,8.9,1957,350000,0,12,7.5857142720903665,7.849999904632568
2021758,8.2,2013,20000000,6,71,7.8999998569488525,7.487499892711639
2021838,7.7,2010,18000000,2,33,7.414285659790039,7.7444443172878685
2021929,4.5,2013,2505741,8,1,4.5,3.950000047683716
2021938,6.8,2006,3654847,0,85,6.800000190734863,6.800000190734863
2021946,6.1,2004,37000000,30,46,6.299999952316284,6.099999904632568
2021977,5.8,2002,2000000,18,13,5.800000190734863,5.800000190734863
2022234,6.5,1992,40000000,1,22,6.866666603088379,6.75
2022485,5.7,2007,12000000,10,4,5.699999809265137,6.5
2023102,5.9,1979,35000000,30,43,7.231250077486038,6.930357203597114
2024227,7.4,2012,1335344.5,0,49,7.400000095367432,7.400000095367432
2024261,5.7,2003,76000000,20,12,6.066666682561238,6.263888822661507
2024268,7,2005,2251009.3,0,18,7,7
2024304,6.8,2013,61000000,8,51,6.649999976158142,6.800000190734863
2024659,5.3,1998,60000,19,1,5.300000190734863,5.300000190734863
2024744,3.3,2008,1000000,24,1,3.299999952316284,3.299999952316284
2024831,5.9,1971,679000,13,2,5.900000095367432,5.900000095367432
2024913,5.4,2005,3000000,51,11,5.400000095367432,5.008333365122477
2024935,2.6,1999,9260000,18,2,3.0999999046325684,2.8499999046325684
2025379,6.2,2002,7000000,0,29,6.199999809265137,6.0666665236155195
2025383,6.8,1984,28000000,3,18,6.142857142857143,6.712500154972076
2025709,5.1,2012,2500000,13,1,5.099999904632568,5.099999904632568
2025829,5.8,2013,13000000,54,11,5.800000190734863,6.140000057220459
2025835,6.8,2008,35000000,4,77,5.919999980926514,6.357142947968982
2025862,7.7,2003,20000000,1,43,7.900000095367432,7.566666762034099
2025872,7.2,2012,42000000,11,48,7.199999809265137,6.812499860922496
2026314,5,2011,650000,12,1,5,5
2026430,7.1,2001,200000,1,20,7.1499998569488525,7.1499998569488525
2026552,6.1,2008,30000000,16,61,6.274999976158142,6.033333381017049
