Film,Rating,Year,Budget,Actor,Director,Writer,Popularity
2018616,7.9,1980,534982.5,7.682369218947897,6.420000076293945,7.6600000858306885,0
2018678,5.4,1988,13004190,5.680661746351739,5.400000095367432,5.462500095367432,1
2018819,7.7,1945,302590,7.652187362561624,7.830000034968059,7.830000034968059,1
2019328,7.8,2009,7500000,6.973945862930121,7.300000031789144,7.800000190734863,1
2019469,5.2,2004,10407600,5.39216896129005,5.199999809265137,5.199999809265137,1
2019692,6.9,1981,400000,6.790625060598055,6.049999952316284,6.428571428571428,1
2019949,5.7,2006,5000000,5.925645338364788,5.699999809265137,5.699999809265137,1
2019952,2.7,2002,5000000,4.039540863969699,2.700000047683716,2.700000047683716,1
2020120,6.6,2004,2312800,6.555323993718182,6.599999904632568,6.599999904632568,1
2020187,5.7,1998,32000000,5.960763739215003,6.074999928474426,5.941666483879089,1
2020644,7.2,1999,16000000,6.7969880634983495,7.199999809265137,6.738333312670389,1
2020652,6.2,1983,4520000,6.251714468468342,6.300000011920929,6.266666571299234,1
2020781,2.4,2013,500000,3.4831818833495634,2.4000000953674316,2.4000000953674316,1
2021221,5.6,1996,54000000,6.234479948513015,5.800000111262004,6.07727266441692,1
2021555,3.7,2004,1002296.4,4.324229738625492,4.7500001192092896,4.050000071525574,1
2021601,7.8,2007,4000000,7.276408186726187,6.533333460489909,6.111111217074924,0
2021614,7.6,2005,400000,7.083194355646418,6.766666571299235,7.599999904632568,1
2021617,8.9,1957,350000,7.7323491366417825,7.5857142720903665,7.849999904632568,1
2021758,8.2,2013,20000000,7.180688244691744,7.8999998569488525,7.487499892711639,0
2021838,7.7,2010,18000000,7.216993647253538,7.414285659790039,7.7444443172878685,0
2021929,4.5,2013,2505741,5.363095249070061,4.5,3.950000047683716,1
2021938,6.8,2006,3654847,6.792745284473194,6.800000190734863,6.800000190734863,1
2021946,6.1,2004,37000000,6.089752963247418,6.299999952316284,6.099999904632568,1
2021977,5.8,2002,2000000,5.943738911847959,5.800000190734863,5.800000190734863,1
2022234,6.5,1992,40000000,6.523894767823691,6.866666603088379,6.75,0
2022485,5.7,2007,12000000,5.8972617802165805,5.699999809265137,6.5,0
2023102,5.9,1979,35000000,6.2611372002536685,7.231250077486038,6.930357203597114,0
2024227,7.4,2012,1335344.5,7.396938864065676,7.400000095367432,7.400000095367432,1
2024261,5.7,2003,76000000,5.924746870285191,6.066666682561238,6.263888822661507,1
2024268,7,2005,2251009.3,6.997222238116795,7,7,0
2024304,6.8,2013,61000000,6.4746423122818335,6.649999976158142,6.800000190734863,1
2024659,5.3,1998,60000,5.457708507279555,5.300000190734863,5.300000190734863,0
2024744,3.3,2008,1000000,4.0336536364895945,3.299999952316284,3.299999952316284,1
2024831,5.9,1971,679000,6.0176191420782175,5.900000095367432,5.900000095367432,0
2024913,5.4,2005,3000000,5.564449195254381,5.400000095367432,5.008333365122477,1
2024935,2.6,1999,9260000,3.8343749297989738,3.0999999046325684,2.8499999046325684,1
2025379,6.2,2002,7000000,6.282758457907315,6.199999809265137,6.0666665236155195,1
2025383,6.8,1984,28000000,6.499480795074392,6.142857142857143,6.712500154972076,1
2025709,5.1,2012,2500000,5.228246664072012,5.099999904632568,5.099999904632568,0
2025829,5.8,2013,13000000,5.857923232836601,5.800000190734863,6.140000057220459,1
2025835,6.8,2008,35000000,6.629419899452933,5.919999980926514,6.357142947968982,0
2025862,7.7,2003,20000000,7.263015340689264,7.900000095367432,7.566666762034099,1
2025872,7.2,2012,42000000,6.559969975213816,7.199999809265137,6.812499860922496,1
2026314,5,2011,650000,5.1424145224766855,5,5,1
2026430,7.1,2001,200000,7.06587292656066,7.1499998569488525,7.1499998569488525,1
2026552,6.1,2008,30000000,6.189389494573984,6.274999976158142,6.033333381017049,1
2026563,6.8,2000,2542684.6,6.766666832069556,6.800000190734863,6.800000190734863,1
2026595,7.6,2002,8000000,7.134685637829795,7.414285659790039,7.099999904632568,1
2026669,4.9,2002,5000000,5.7007392466341935,4.900000095367432,4.900000095367432,1
2026710,7,2006,823050,6.925403225806452,7,7,1
2026967,6.2,2014,28000000,6.27856533561434,6.059999942779541,6.326612841698431,1
2027086,5.8,1987,11000000,5.9689369222868685,6.566666762034099,6.266666783226861,1
2027147,6.6,2005,2505741,6.573317090838461,6.849999904632568,6.849999904632568,1
2027152,5.1,1992,6500000,5.415118102682122,6.300000031789144,5.099999904632568,0
2027153,4.1,1994,20000000,4.5513383203340645,4.099999904632568,4.099999904632568,1
2027249,3.8,2000,6000000,4.791630370253074,4.149999976158142,5.025000035762787,1
2027299,7.9,1977,1500000,7.321349282054176,6.669230717879075,7.487500011920929,1
2027451,6.6,2007,32000000,6.62964281973655,6.8999998569488525,6.614999930063884,1
2027499,6.2,2011,28000000,6.236937164730153,6.899999936421712,6.199999809265137,1
2027509,2.7,2013,3000000,3.7053968650210742,2.700000047683716,2.700000047683716,1
2027604,7.8,2006,65000000,7.12903250508911,7.600000063578288,7.102857289995467,0
2027649,5.9,2001,42000000,5.941592320567721,5.900000095367432,5.900000095367432,1
2027656,6.4,2014,110000000,6.447456806365628,6.400000095367432,6.6380953561692015,0
2027891,5.5,2006,2434200,5.780416676402092,5.5,5.133333325386047,1
2027911,7.2,2004,15703912,6.840078012148539,7.199999809265137,6.966666519641876,1
2028075,7.8,2007,55000000,6.851498955824083,7.11428587777274,6.666666638283503,0
2028133,4.4,2011,2580000,4.921250073115031,4.400000095367432,4.400000095367432,1
2028337,7.9,2007,693840,7.729166744611202,7.900000095367432,7.775000095367432,1
2028446,5.9,2010,4600000,6.056066089803045,5.900000095367432,5.900000095367432,1
2028471,5.6,2002,17000000,5.860091973082154,5.5333333015441895,5.599999904632568,1
2028724,7.7,1933,439000,7.62528914675675,7.099999904632568,7.687499940395355,0
2028831,6.9,2006,10000000,6.902666714986165,6.842857156481061,6.800000111262004,1
2028956,7.5,1941,199709.4,7.424435293135916,7.800000031789144,7.650000015894571,0
2029128,5.6,2011,20000000,5.690130368121285,5.772727186029607,5.599999904632568,0
2029554,7.8,2011,8000000,6.982391555321797,6.850000023841858,7.800000190734863,1
2029701,5.7,1998,13000000,5.953062959219383,5.699999809265137,5.699999809265137,0
2029817,4.6,2006,3000000,5.0012819875679115,4.599999904632568,4.349999904632568,1
2029879,6.1,2012,10000000,6.045171875439624,5.833333174387614,5.324999928474426,1
2029963,6.1,2010,22000000,6.1301259621234925,6.25,6.5,1
2030343,5.7,2011,13793800,6.122618944871994,6.75,6.75,1
2030347,3.2,2012,6000000,3.9631318929619033,3.200000047683716,3.200000047683716,1
2030407,6,2012,3469200,6.074495725903416,6.200000013623919,6.1555555661519366,1
2030437,6.2,2011,4770000,6.268014218267261,7.449999809265137,6.736666552225747,1
2030442,6.4,2009,0.859828,6.218627532323202,6.400000095367432,6.400000095367432,1
2030940,6.9,2002,41000000,6.6900644866946415,6.600000095367432,7.400000095367432,0
2030980,6.5,1994,7000000,6.459168086277376,6.119999980926513,6.5,0
2031002,5.2,2009,567980,5.402063356032447,5.199999809265137,5.262499809265137,1
