"","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"1","2018412",5.9,0,0,29,0,5.99800008455912,6.10555564789545,5.99230778522981
"2","2018501",8.2,0,0,2,14,8.19999980926514,8.19999980926514,8.19999980926514
"3","2018973",3.7,0,4,0,0,3.61999998092651,3.5,3.63333332538605
"4","2019209",4.7,0,16,34,0,4.69999980926514,5.8395958559159,4.69999980926514
"5","2019225",8,0,0,0,3,8,7.74000000953674,8
"6","2019328",7.8,0,1,49,30,7.30000003178914,6.36611117711143,6.72500014305115
"7","2019375",4.9,0,2,9,0,4.45000004768372,5.26111114025116,4.67500007152557
"8","2019395",8.7,0,0,1,3,8.69999980926514,8.69999980926514,8.69999980926514
"9","2019415",6.8,0,0,4,0,6.80000019073486,6.80000019073486,6.80000019073486
"10","2019466",4.5,0,32,11,0,4.68333331743876,5.4814285993576,4.68333331743876
"11","2019469",5.2,0,6,36,0,5.79999987284342,5.77499985694885,5.83333320087857
"12","2019619",6,0,0,2,0,6,6,6
"13","2019638",5.4,0,0,8,0,5.40000009536743,6.10000012318293,5.40000009536743
"14","2019952",2.7,0,9,5,0,2.70000004768372,2.70000004768372,3.39166669050852
"15","2019995",7.8,0,0,0,4,7.46666669845581,7.55000007152557,7.56363638964566
"16","2020010",6.3,0,0,2,0,6.30000019073486,6.30000019073486,6.30000019073486
"17","2020060",5.2,0,0,1,0,5.19999980926514,4.93333319822947,5.19999980926514
"18","2020096",5.3,0,2,16,0,5.30000019073486,5.41666682561239,5.30000019073486
"19","2020120",6.6,0,0,36,0,6.59999990463257,6.25,6.47500002384186
"20","2020187",5.7,0,0,24,0,5.78333330154419,5.79166658719381,5.81666652361552
"21","2020269",6.4,0,0,8,0,5.15000009536743,5.37472226752175,5.15000009536743
"22","2020272",6,0,0,45,0,6,6,6
"23","2020447",7.2,0,0,37,0,6.84999990463257,6.35000002384186,6.34999990463257
"24","2020472",6.8,0,0,22,0,6.80000019073486,6.51250014702479,6.75
"25","2020591",6.9,0,0,4,0,6.90000009536743,6.90000009536743,6.90000009536743
"26","2020609",7.5,0,0,1,0,7.5,7.5,7.5
"27","2020644",7.2,0,0,51,0,5.94999980926514,6.26866664886475,6.52204132880967
"28","2020698",5,0,20,10,0,6.05833339691162,6.07005659962762,5.60500009059906
"29","2020781",2.4,13,3,6,0,2.40000009536743,2.7375992757697,2.40000009536743
"30","2020789",5.6,0,3,10,0,5.5,5.62349200679196,6.0142857006618
"31","2020793",3.9,0,8,2,0,3.90000009536743,3.26666673024495,3.90000009536743
"32","2021221",5.6,0,0,24,0,5.85000004768372,5.84854163653923,6.18486840473978
"33","2021274",6.7,0,0,8,0,6.69999980926514,6.88333320617676,6.69999980926514
"34","2021286",4.8,0,13,22,0,6.39999993642171,5.89816670179367,5.87071439879281
"35","2021369",6.5,0,0,53,1,6.09999990463257,6.12272728573192,6.59999998410543
"36","2021435",3.9,0,7,17,0,4.83333349227905,4.65555567211575,4.70000009735425
"37","2021439",8,0,0,0,8,8,5.69999996821086,8
"38","2021555",3.7,0,12,5,0,4.1000000834465,4.07698416615289,4.32000003655752
"39","2021557",6.9,0,0,22,0,6.90000009536743,6.90000009536743,6.90000009536743
"40","2021562",7.2,0,0,13,0,7.19999980926514,6.18670368141598,7.19999980926514
"41","2021601",7.8,0,1,16,12,6.30000009536743,5.96888894173834,5.68904767149971
"42","2021614",7.6,0,0,16,6,6.76666657129924,6.64364492352269,7.59999990463257
"43","2021673",8.2,0,0,2,8,8.19999980926514,8.19999980926514,8.19999980926514
"44","2021675",5.1,0,4,8,0,5.09999990463257,5.09999990463257,5.09999990463257
"45","2021686",6.2,0,0,3,0,6.19999980926514,6.19999980926514,6.19999980926514
"46","2021721",5.6,0,1,80,0,5.66470580942491,5.7860118867386,5.59999990463257
"47","2021758",8.2,0,0,47,30,7.89999985694885,7.06181414735478,7.41428565979004
"48","2021838",7.7,0,1,14,21,7.35555553436279,7.18965767893999,7.56666653951009
"49","2021906",7.5,0,0,6,0,7.5,7.5,7.5
"50","2021938",6.8,0,0,85,0,6.80000019073486,6.53750001390775,6.56666670905219
