Actor,Rating
524022,7.1
524041,5.6
524044,7.1
524052,7.6
524054,5.8
524071,5.3
524088,3.6
524111,6.0
524125,7.8
524146,7.6
524153,2.4
524170,4.8
524173,7.1
524179,6.9
524181,6.26
524182,7.52
524185,5.4
524191,5.4
524196,8.3
524199,5.9
524216,5.7
524223,6.3
524224,5.7
524226,4.5
524227,6.7
524230,7.6
524232,5.2
524236,5.4
524245,5.4
524261,6.3
524267,6.45
524291,6.85
524306,6.8
524309,6.1
524316,6.5
524323,7.0
524337,8.0
524339,4.3
524349,5.5
524350,5.9
524383,7.3
524403,6.6
524423,6.5
524440,5.62
524442,4.7
524445,5.8
524451,6.7
524470,4.7
524483,5.5
524490,6.47
524495,5.0
524504,6.2
524508,6.27
524510,3.4
524512,3.3
524513,5.4
524536,5.58
524545,5.5
524566,5.77
524570,4.8
524581,8.0
524582,6.5
524588,6.5
524589,6.1
524600,8.3
524605,4.8
524606,7.1
524613,6.8
524614,6.8
524626,6.8
524635,8.0
524638,6.8
524677,5.1
524678,6.43
524680,4.9
524700,6.5
524701,5.7
524711,4.5
524724,6.6
524748,6.3
524757,5.8
524759,7.7
524804,6.1
524844,3.1
524848,3.3
524849,5.4
524851,6.73
524861,5.23
524871,6.57
524872,5.4
524888,6.45
524889,4.83
524942,6.6
524956,6.9
524957,7.4
524965,6.6
524981,7.1
525025,4.3
525027,6.5
525040,4.2
525064,5.55
525105,6.17
525116,5.9
525120,5.82
525123,6.26
525139,6.9
525143,6.5
525145,6.4
525151,6.5
525157,5.9
525176,5.0
525178,6.3
525179,6.4
525180,5.07
525181,7.3
525182,7.3
525183,7.1
525184,6.3
525190,6.3
525191,6.2
525198,6.7
525205,6.5
525217,6.8
525225,6.25
525229,7.8
525240,7.6
525255,6.8
525266,5.3
525309,6.4
525310,6.78
525317,7.4
525319,6.3
525351,3.3
525363,3.6
525371,5.75
525384,5.4
525395,6.4
525396,5.85
525411,4.6
525415,5.2
525429,6.9
525431,5.7
525494,7.3
525496,6.9
525501,7.3
525506,5.1
525515,6.52
525530,5.1
525542,6.1
525543,6.5
525576,5.0
525577,5.0
525583,6.1
525598,7.3
525600,7.4
525617,6.9
525639,4.2
525642,5.8
525654,7.6
525664,6.8
525679,6.2
525690,6.9
525695,7.2
525706,5.7
525721,5.8
525724,6.1
525726,3.5
525739,5.8
525744,6.7
525749,6.5
525755,5.0
525761,6.28
525762,6.7
525766,6.9
525773,6.4
525782,7.17
525788,3.2
525804,7.6
525820,7.2
525847,7.5
525850,8.6
525862,5.0
525869,7.97
525875,4.65
525881,7.2
525899,6.93
525902,7.6
525921,5.9
525924,6.8
525940,7.4
525947,5.3
525961,5.5
525962,5.05
525976,5.6
525989,6.6
526013,7.7
526038,4.8
526052,6.38
526055,8.0
526056,6.3
526073,2.9
526083,5.5
526092,6.5
526107,7.1
526134,7.25
526136,6.9
526140,6.1
526144,5.7
526156,6.9
526182,7.5
526190,6.9
526204,4.8
526205,7.7
526207,6.1
526214,2.8
526219,4.9
526226,7.2
526229,6.2
526244,5.7
526264,6.8
526280,6.9
526287,6.8
526298,5.95
526308,6.35
526329,6.04
526336,5.9
526358,7.25
526360,4.3
526367,5.95
526372,6.7
526382,5.23
526383,7.72
526391,7.0
526392,7.01
526397,6.93
526402,6.4
526407,6.2
526422,7.1
526432,6.6
526438,3.9
526453,7.27
526456,5.1
526457,4.4
526470,6.2
526472,5.82
526494,6.8
526499,6.6
526504,5.5
526505,7.24
526518,7.1
526522,7.0
526531,7.2
526555,8.15
526556,5.3
526561,7.0
526571,7.6
526589,5.7
526599,3.4
526610,4.2
526611,5.17
526615,4.7
526624,6.3
526625,6.9
526646,4.2
526647,5.69
526648,7.5
526649,6.9
526651,4.5
526658,5.9
526666,6.6
526669,8.1
526674,7.42
526675,7.6
526676,6.2
526677,4.6
526680,3.3
526685,7.0
526686,6.1
526694,6.56
526695,7.1
526696,6.6
526697,6.65
526707,6.26
526711,5.8
526712,6.84
526713,4.8
526740,5.33
526742,7.7
526750,5.7
526764,7.1
526778,7.1
526779,5.4
526791,4.5
526794,6.7
526799,6.5
526805,6.3
526826,4.15
526832,2.3
526833,6.07
526862,6.9
526870,7.1
526875,7.0
526889,5.0
526891,6.5
526900,6.9
526903,7.5
526905,6.9
526921,3.4
526937,6.5
526944,5.9
526954,7.1
526966,5.1
526986,6.8
526987,3.2
526997,4.7
527023,5.1
527028,3.3
527031,7.0
527042,5.3
527052,3.3
527055,6.85
527056,4.3
527060,7.12
527070,5.7
