Director,Rating
633,7.66
910,6.55
940,6.12
1064,4.3
1501,6.1
1825,5.8
2219,5.1
2276,5.7
2762,6.6
3845,3.8
4004,7.4
4006,5.0
5325,7.0
5458,6.67
5800,7.45
5937,3.1
6474,6.0
6555,8.3
6842,5.6
7799,7.1
8857,6.4
9001,6.2
9125,7.7
9246,8.5
9978,5.0
10116,4.0
10636,6.4
11309,3.0
11312,7.18
11744,5.1
11973,5.6
12408,4.45
12691,6.5
12708,6.9
12892,8.1
13217,6.2
13220,6.2
13224,2.8
13319,6.7
13349,7.1
13536,5.35
13958,6.2
14218,7.7
14241,7.0
14347,7.7
14746,3.8
15385,4.4
15963,6.8
17157,5.4
17217,8.0
17273,4.1
17404,7.4
17490,6.5
18288,3.2
19766,6.7
19895,6.35
20368,6.28
20853,6.8
20946,7.07
21248,3.6
21456,7.83
21589,5.6
21677,6.7
21688,8.2
22008,4.6
22009,8.45
22163,7.6
22412,3.1
22418,5.2
22735,6.9
23224,4.0
23302,6.2
23334,5.1
23662,4.9
23772,6.2
23940,6.6
24297,6.25
25081,6.5
25183,4.23
26855,4.2
27194,6.3
27812,6.9
27962,7.2
28751,5.6
28817,6.6
28906,6.1
29838,6.6
30391,5.7
30499,6.8
30711,4.1
30751,6.9
30935,6.1
31601,6.5
31605,7.55
31644,6.1
31659,7.55
31748,6.0
32181,8.0
32273,6.1
32430,6.2
32549,6.0
34585,4.2
35005,5.7
35132,7.1
35330,5.8
35711,4.0
36276,7.14
36343,7.2
36404,7.35
36636,7.6
37074,6.8
37303,6.8
37338,6.8
37710,5.75
37899,5.37
37995,7.47
38708,4.5
38855,5.6
39546,7.9
39950,7.9
40155,6.6
40313,6.0
41049,6.85
41497,6.7
41711,3.5
41809,7.4
42078,8.0
42082,4.5
42329,5.7
43214,6.1
43279,3.4
43311,7.1
44244,7.64
44565,6.2
44774,6.3
44826,5.5
45806,6.23
46389,5.5
46528,6.9
46885,5.85
46934,4.1
47196,6.45
47439,6.1
47628,7.1
47765,6.1
48003,8.0
48051,6.7
48415,6.2
48608,6.57
48767,5.9
50307,3.0
50340,6.13
50565,7.72
50566,5.98
50621,2.0
50967,7.3
51167,6.1
51233,7.47
52322,3.6
52366,5.5
52383,5.72
52436,6.4
52555,5.0
52895,4.0
53233,6.4
53644,7.2
53820,7.3
53835,6.8
54087,7.6
54623,7.4
54797,7.1
55464,7.1
55746,6.4
55893,6.1
56993,7.2
57009,6.9
57070,6.83
57155,5.4
57191,6.2
57344,8.2
57689,5.9
57811,6.0
57917,6.5
57987,4.9
58980,6.5
59551,7.3
59818,7.7
59854,4.9
60413,6.5
60604,6.7
61296,6.72
61400,5.55
61906,6.5
62029,6.7
62509,6.2
63063,6.7
63167,6.5
63181,5.8
63464,6.1
63468,6.5
63714,5.13
64094,4.47
64099,4.7
64676,7.0
64688,5.9
64798,6.6
64813,7.16
64819,7.3
64828,6.3
64996,5.8
65096,5.6
66003,6.22
66150,2.0
66197,7.2
66661,6.5
66900,5.69
67488,7.7
67965,7.55
68006,6.8
68271,6.6
68383,5.2
68886,6.55
69135,6.15
69175,4.2
69906,7.55
69976,5.6
70054,7.32
70567,5.0
70905,6.78
71098,6.8
71108,5.7
71715,7.36
71725,5.7
71861,7.6
72121,5.4
72433,6.3
73147,6.1
73287,6.7
73558,6.55
73810,7.6
75038,7.2
75202,6.73
75274,7.8
75884,6.55
76154,4.2
76192,5.5
76761,8.2
77283,3.9
77424,5.4
77626,6.8
77893,5.6
78008,7.15
78092,3.7
78109,6.6
78199,6.8
78431,3.85
79250,6.8
79350,3.0
79352,5.35
79572,3.1
80257,3.6
80972,6.45
81095,7.08
81453,6.2
81785,7.9
81955,4.67
82122,7.5
82592,6.67
82826,6.0
83619,7.1
83835,7.65
83945,4.5
84256,6.9
84509,6.1
84766,6.65
84786,6.48
84836,6.7
84892,6.8
84893,5.0
85077,4.3
85728,6.31
85882,4.2
85974,6.38
86515,6.6
87254,7.08
87485,4.7
87982,6.8
89249,5.6
89277,6.4
89425,5.5
89673,6.7
89794,6.8
90034,4.6
90408,7.03
91253,3.9
92351,6.73
92926,3.8
92980,6.48
92981,7.6
93174,6.35
93895,4.1
94055,7.2
95126,4.9
95412,6.2
95417,6.4
95439,5.5
95530,5.2
95608,6.4
95678,4.8
95697,4.0
95871,5.0
95968,6.55
97310,6.8
97378,6.43
97410,7.5
97505,7.3
97626,6.9
97685,4.6
98668,5.9
99332,7.1
99472,6.56
100321,6.38
100453,7.0
100512,6.2
100542,7.9
100654,6.48
100869,6.4
101192,4.85
101309,6.5
101486,5.15
101525,8.1
101527,4.0
101807,7.6
101821,5.6
101896,2.3
102864,6.7
103176,7.4
103342,3.8
103367,7.35
104362,4.65
104640,6.3
105258,6.0
105727,7.5
105783,4.75
106116,6.3
107238,6.0
108157,2.3
109830,5.68
109956,6.55
110095,6.2
110697,6.4
111235,6.6
111410,6.7
111539,5.6
111699,3.5
111796,6.7
112199,2.4
112350,6.3
112602,4.8
112627,6.5
112845,6.8
112936,6.55
113088,4.9
113170,6.3
113171,6.9
113336,4.3
113350,5.5
113795,4.5
113954,4.1
113973,6.7
115353,5.2
115421,4.6
115719,5.5
115725,4.3
116248,5.2
116355,5.4
116390,5.93
116793,7.9
117202,6.0
117261,5.6
117333,5.1
117356,4.5
117554,5.7
117847,4.3
118739,6.0
118949,4.9
119356,5.5
119783,5.1
120063,6.8
120075,6.2
120603,5.22
120745,5.9
120799,7.6
120800,3.8
121025,7.2
121108,3.1
121258,7.34
121531,4.8
121721,6.4
121822,7.7
122019,3.5
122096,6.1
122495,5.75
122859,4.25
123148,6.5
123185,4.6
123264,5.4
123725,5.55
124475,7.15
124578,5.0
126044,7.8
126657,6.3
127830,5.1
127833,8.1
127945,2.5
128066,6.1
128091,6.7
128794,6.25
128797,6.54
129020,5.4
129438,6.59
129698,5.2
129707,5.85
129710,4.5
130130,7.6
130558,5.2
131477,7.3
131681,5.7
131812,3.3
131920,4.3
132501,6.2
132612,6.8
132843,6.6
132917,7.35
133121,6.33
133341,7.2
133588,6.4
133589,6.6
133830,7.7
133834,5.9
134455,6.9
134468,5.45
134744,6.08
134794,7.0
134840,6.53
135101,5.85
135112,7.8
135171,5.3
135559,6.1
136474,7.3
136816,5.7
136899,6.2
138392,6.0
138565,6.8
138848,6.24
140126,6.8
140473,7.3
140977,7.1
141607,4.4
142323,5.65
142455,6.6
142575,6.6
142713,4.0
143173,5.3
143534,7.6
143689,6.6
143853,6.7
144168,6.4
144394,6.55
144812,6.0
144864,6.7
144875,6.8
145000,6.2
145113,4.9
145747,7.2
145806,7.15
146416,5.7
146942,5.13
147409,6.62
147631,7.3
148161,7.1
148339,2.8
148586,4.5
149006,4.25
149313,3.5
149354,6.2
149682,6.7
150125,6.0
150205,7.2
150951,3.6
151018,4.4
151185,6.2
151237,4.7
151264,6.6
151417,6.43
151583,6.6
151752,3.0
151847,4.3
151881,6.78
152222,6.5
152240,6.5
152526,6.3
152585,6.6
152755,6.5
152818,8.0
153036,8.0
153179,5.07
153200,5.9
153240,7.7
153481,5.1
153488,3.4
153537,5.75
153579,5.7
154056,6.84
154297,5.3
154398,6.75
154615,4.0
156337,5.86
156431,7.1
156482,7.0
156528,4.4
156530,4.4
156596,7.2
156906,5.5
157130,6.4
158062,6.45
158861,6.2
159049,7.28
159564,5.1
159578,6.0
160012,6.5
160205,6.44
160640,3.6
160679,5.1
161131,7.3
161179,6.15
161516,6.8
162401,7.8
162581,6.05
162926,7.6
163054,6.2
163385,3.1
163702,5.8
163808,4.7
164059,7.1
164408,7.0
164453,7.7
165737,4.05
165904,7.9
166199,5.7
166521,7.7
167098,6.7
167269,6.0
167729,6.8
167908,7.4
168105,5.5
168282,4.75
168389,2.7
168700,7.2
168815,7.2
169284,7.1
169990,7.83
170573,4.8
171024,6.8
171508,5.4
171607,5.5
172141,4.4
172291,4.8
172530,7.5
172754,5.6
173197,8.3
173401,7.3
173492,7.0
173691,8.03
173979,7.2
174303,3.1
174649,7.5
174911,5.5
174949,7.7
175316,7.7
175990,5.5
176189,5.6
176244,5.7
176548,7.5
176977,3.3
177227,5.7
177263,6.8
177335,5.8
177361,5.5
177415,5.4
177477,6.7
177772,7.8
177975,3.6
178071,6.1
178582,6.6
178738,5.0
179041,5.9
179351,7.6
179492,6.3
180346,5.7
181390,8.0
181952,4.65
183178,6.54
183183,4.8
183256,6.1
184263,6.9
184730,6.2
185594,6.27
186054,6.0
186223,6.6
186244,6.6
186555,7.0
186689,6.46
187072,3.6
187256,7.2
187656,7.8
187917,6.35
188434,6.2
188994,6.68
189179,4.8
189277,3.52
189571,4.4
189658,5.9
189944,6.8
189971,2.8
190043,3.6
190811,7.3
191281,6.07
191286,6.73
191600,4.9
191706,6.05
191729,6.8
191955,8.1
192036,7.27
192231,3.2
192558,7.3
192573,4.6
193106,7.2
193455,5.48
193626,7.6
194001,4.4
194019,5.8
194102,7.1
194223,3.7
194242,8.1
194406,6.28
194560,5.3
194740,2.7
195349,6.9
195915,7.3
196449,7.1
197133,6.25
197314,6.5
197521,6.4
197705,3.8
197791,4.2
197983,7.7
198043,6.5
198069,5.2
198092,5.7
198294,6.83
198491,7.6
199520,4.5
199899,7.0
200273,6.5
201017,6.85
201746,6.0
201948,7.2
202685,6.6
202742,5.9
203264,5.25
203422,6.25
203838,7.25
203975,7.0
204128,5.4
204510,7.2
204621,4.8
205062,6.52
205826,5.0
205895,6.0
206171,5.7
206184,7.6
206202,4.6
206517,3.9
207561,5.0
207829,7.36
208082,4.8
208357,3.8
208405,8.8
208699,7.3
208727,6.6
208892,7.23
209426,5.43
209555,8.5
210021,5.5
210032,2.6
210657,4.5
211096,5.6
211148,3.2
211209,7.6
211347,5.95
211518,7.6
212013,7.3
212238,7.4
212290,6.95
212723,6.5
212782,7.2
212931,2.7
213395,6.5
213454,6.7
213926,7.35
214405,5.1
214532,5.5
214537,6.7
214810,7.1
214990,3.4
215027,7.35
215944,8.7
216066,5.8
216548,5.1
216675,6.8
217087,7.3
217669,5.8
218654,5.9
218670,7.0
218812,6.0
218866,7.9
219046,7.7
219144,6.07
219531,5.1
219546,6.8
219577,5.15
219686,7.2
220030,5.4
220696,6.8
220880,5.8
220946,4.85
220965,4.7
221045,4.7
221842,6.1
222165,5.42
223218,6.15
224082,6.35
224083,7.3
224086,7.3
224094,5.45
224375,2.9
224489,6.75
224763,8.15
224838,7.0
225535,3.5
225980,6.8
226087,6.1
226432,7.1
226484,7.0
226509,7.0
226807,5.6
226849,4.9
226879,5.45
227129,6.8
227297,6.63
227398,5.4
227539,6.91
227658,7.68
227852,6.2
228227,4.95
229135,6.8
229753,5.1
229868,7.7
230149,7.1
230170,6.96
230302,5.3
230750,5.7
231469,5.6
232368,5.05
234776,5.1
234804,7.2
234871,7.28
234929,5.8
235000,6.4
235408,4.8
235538,5.7
235731,6.1
236575,5.9
237309,6.35
237651,8.7
237844,5.4
238266,3.3
238355,4.0
238513,6.5
238568,7.25
239774,7.2
239901,7.45
239988,6.5
240559,3.67
240615,6.6
241101,7.27
241125,5.8
241501,7.1
242256,5.8
242564,5.5
242675,4.55
243215,8.4
243442,7.7
244092,6.5
244310,7.3
244546,8.2
245978,7.0
247022,6.1
247257,8.2
247384,7.3
247419,7.22
247430,5.2
248175,7.8
248525,6.05
248786,5.35
249726,5.6
249764,5.4
250016,7.6
250046,6.7
250589,4.1
250677,3.95
250702,6.32
251194,7.0
251458,5.8
251896,6.1
252179,5.9
252529,7.8
252913,7.17
253276,6.9
253519,5.6
253587,6.1
253682,7.7
254102,4.3
254103,7.05
254615,6.3
254762,5.7
255034,6.2
255319,7.0
255388,6.2
255905,4.7
256062,4.8
256118,7.1
256466,5.8
257239,7.5
257321,5.3
257573,8.3
257887,4.1
258666,6.6
258737,6.4
258819,5.05
259258,5.2
259312,6.4
260133,6.3
260185,4.2
260449,5.1
260819,5.6
260861,5.45
261120,5.75
262376,3.9
262569,5.6
262809,6.3
262854,5.0
262879,5.1
263450,7.8
263560,6.0
263694,5.8
263817,5.7
263968,5.7
264767,4.7
264997,5.75
265245,6.9
265821,7.35
266813,7.0
267362,3.8
267608,5.7
267744,5.6
267884,3.0
268467,3.27
269234,8.3
269523,7.8
270107,6.35
270194,5.6
270228,6.0
270312,4.3
270472,7.7
270528,4.8
271145,5.05
271547,5.8
271766,6.48
272471,4.4
273374,6.85
273826,5.15
